Collection Name,Collection Summary,Family Name,Family Summary,Family Publication Date,Family URL,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Geographies,Category,Languages,Source
,,Uganda 7th National Report. NR7 (2026),<p>Uganda 7th National Report. NR7 (2026)</p>,2026-02-17T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-7th-national-report-nr7-2026_69cc,Uganda National Report. NR7 (2026),https://app.climatepolicyradar.org/documents/uganda-national-report-nr7-2026_1230,https://cdn.climatepolicyradar.org/navigator/UGA/2026/uganda-7th-national-report-nr7-2026_8fb96ffec75b8e705d74b918d36d593d.pdf,National Report (NR),n/a,UGA,UN Submissions,English,CBD
,,Preparation of Biennial Transparency Reports (BTRs) and Combined BTR/National Communications (BTR/NCs) to the United Nations Framework Convention on Climate Change (UNFCCC).,"The project aims to support four countries–Ecuador, Maldives, Rwanda, and Uganda–to prepare and submit Biennial Transparency Reports (BTRs) and combined Biennial Transparency Report / National Communications (BTR/NCs) that will comply with the United Nations Framework Convention on Climate Change (UNFCCC) and the Paris Agreement (PA) reporting requirements, while responding to national development goals.",2026-02-06T00:00:00+00:00,https://app.climatepolicyradar.org/document/preparation-of-biennial-transparency-reports-btrs-and-combined-btr-national-communications-btr-ncs-to-the-united-nations-framework-convention-on-climate-change-unfccc_91dd,Preparation of Biennial Transparency Reports (BTRs) and Combined BTR/National Communications (BTR/NCs) to the United Nations Framework Convention on Climate Change (UNFCCC).,https://app.climatepolicyradar.org/documents/preparation-of-biennial-transparency-reports-btrs-and-combined-btr-national-communications-btr-ncs-to-the-united-nations-framework-convention-on-climate-change-unfccc_bc79,https://cdn.climatepolicyradar.org/navigator/ECU/2026/preparation-of-biennial-transparency-reports-btrs-and-combined-btr-national-communications-btr-ncs-to-the-united-nations-framework-convention-on-climate-change-unfccc_629d1521d125339b758731871b9b3e7b.pdf,,n/a,ECU;MDV;RWA;UGA;XAB,MCF,English,GEF
,,The second phase of the Uganda Rural Electrification Access Project (UREAP II),The second phase of the Uganda Rural Electrification Access Project (UREAP II) implemented by African Development Bank (AFDB),2026-01-23T00:00:00+00:00,https://app.climatepolicyradar.org/document/the-second-phase-of-the-uganda-rural-electrification-access-project-ureap-ii_38a7,The second phase of the Uganda Rural Electrification Access Project (UREAP II),https://app.climatepolicyradar.org/documents/the-second-phase-of-the-uganda-rural-electrification-access-project-ureap-ii_8259,https://cdn.climatepolicyradar.org/navigator/UGA/2026/the-second-phase-of-the-uganda-rural-electrification-access-project-ureap-ii_2cc6f81d893a92b87e6074f35dd6a446.pdf,,n/a,UGA,MCF,English,CIF
,,Uganda National Agroforestry Strategy,"<p>This strategy seeks to promote agroforestry techniques in Uganda over the long term, aiming to reduce land degradation, increase forest carbon stocks and support sustainable rural livelihoods alongside economic growth. It notes the threat of climate change to farming systems using less sustainable methods, and notes the opportunity to integrate agroforestry with carbon credit schemes to secure external funding. The strategy promotes the expansion and establishment of agroforestry tree nurseries, training for farmers, integration of a communications strategy, domestic agroforestry research funding, and the integration of this process with international research and financing systems.</p>",2026-01-17T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-national-agroforestry-strategy_9353,Uganda National Agroforestry Strategy,https://app.climatepolicyradar.org/documents/uganda-national-agroforestry-strategy_301e,https://cdn.climatepolicyradar.org/navigator/UGA/2026/uganda-national-agroforestry-strategy_0b8333224b2c8f689bd9947aa3765476.pdf,Strategy,n/a,UGA,Executive,English,CCLW
,,Uganda REDD+ RBP for results period 2016 - 2017,"With over 70 per cent of the population engaged in subsistence farming and dynamic population growth, Uganda is highly dependent on its forests for livelihoods and economic development. This, compounded by the effects of climate change, has contributed to an unprecedented decline in forest cover. The primary drivers of deforestation include expanding land for agriculture, smallholder farming, and unsustainable logging of round wood, fuelwood, and charcoal.

Uganda has been actively engaged in establishing national policies, strategies, and institutional frameworks to guide forest management and sustainable use. Since 2008, REDD+ initiatives have been a significant part of this process. Following an independent technical assessment under UNFCCC guidelines, Uganda's reported results of verified emission reductions of 8,070,694 tCO₂e from 1 January 2016 to 31 December 2017 were confirmed as credible and transparent. With this verification, Uganda became eligible to access results-based payments under GCF’s REDD+ Pilot Programme.

The GCF proceeds from the REDD+ RBP will be reinvested in reinforcing an enabling environment for the implementation of Uganda’s REDD+ Strategy and Action Plan, and four priority strategic options of Uganda’s REDD+ Strategy: climate-smart agriculture, sustainable charcoal/fuel wood production, restoration, and policy strengthening. The plan promotes gender inclusion and community empowerment through targeted training, participatory planning, and inclusive benefit-sharing mechanisms.

The use of GCF proceeds will strengthen the capacity of government institutions involved in implementing REDD+ activities and reduce the pressure from key deforestation drivers. This will contribute to the long-term sustainability of REDD+ activities and generate non-carbon benefits. A benefit-sharing system will be introduced to encourage further activities to scale up results in seventeen prioritised districts.",2025-10-30T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-redd-rbp-for-results-period-2016-2017_18db,Gender action plan for FP280: Uganda REDD+ RBP for results period 2016 - 2017,https://app.climatepolicyradar.org/documents/gender-action-plan-for-fp280-uganda-redd-rbp-for-results-period-2016-2017_3a27,https://cdn.climatepolicyradar.org/navigator/UGA/2025/uganda-redd-rbp-for-results-period-2016-2017_5a71d12c0a5e409e3bd683bd1804a5fd.pdf,Gender action plan,n/a,UGA,MCF,English,GCF
,,Uganda REDD+ RBP for results period 2016 - 2017,"With over 70 per cent of the population engaged in subsistence farming and dynamic population growth, Uganda is highly dependent on its forests for livelihoods and economic development. This, compounded by the effects of climate change, has contributed to an unprecedented decline in forest cover. The primary drivers of deforestation include expanding land for agriculture, smallholder farming, and unsustainable logging of round wood, fuelwood, and charcoal.

Uganda has been actively engaged in establishing national policies, strategies, and institutional frameworks to guide forest management and sustainable use. Since 2008, REDD+ initiatives have been a significant part of this process. Following an independent technical assessment under UNFCCC guidelines, Uganda's reported results of verified emission reductions of 8,070,694 tCO₂e from 1 January 2016 to 31 December 2017 were confirmed as credible and transparent. With this verification, Uganda became eligible to access results-based payments under GCF’s REDD+ Pilot Programme.

The GCF proceeds from the REDD+ RBP will be reinvested in reinforcing an enabling environment for the implementation of Uganda’s REDD+ Strategy and Action Plan, and four priority strategic options of Uganda’s REDD+ Strategy: climate-smart agriculture, sustainable charcoal/fuel wood production, restoration, and policy strengthening. The plan promotes gender inclusion and community empowerment through targeted training, participatory planning, and inclusive benefit-sharing mechanisms.

The use of GCF proceeds will strengthen the capacity of government institutions involved in implementing REDD+ activities and reduce the pressure from key deforestation drivers. This will contribute to the long-term sustainability of REDD+ activities and generate non-carbon benefits. A benefit-sharing system will be introduced to encourage further activities to scale up results in seventeen prioritised districts.",2025-10-30T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-redd-rbp-for-results-period-2016-2017_18db,Gender assessment for FP280: Uganda REDD+ RBP for results period 2016 - 2017,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp280-uganda-redd-rbp-for-results-period-2016-2017_ec89,https://cdn.climatepolicyradar.org/navigator/UGA/2025/uganda-redd-rbp-for-results-period-2016-2017_cac78a812e9bc9b11ecd5ca53ded4fcc.pdf,Gender assessment,n/a,UGA,MCF,English,GCF
,,Uganda REDD+ RBP for results period 2016 - 2017,"With over 70 per cent of the population engaged in subsistence farming and dynamic population growth, Uganda is highly dependent on its forests for livelihoods and economic development. This, compounded by the effects of climate change, has contributed to an unprecedented decline in forest cover. The primary drivers of deforestation include expanding land for agriculture, smallholder farming, and unsustainable logging of round wood, fuelwood, and charcoal.

Uganda has been actively engaged in establishing national policies, strategies, and institutional frameworks to guide forest management and sustainable use. Since 2008, REDD+ initiatives have been a significant part of this process. Following an independent technical assessment under UNFCCC guidelines, Uganda's reported results of verified emission reductions of 8,070,694 tCO₂e from 1 January 2016 to 31 December 2017 were confirmed as credible and transparent. With this verification, Uganda became eligible to access results-based payments under GCF’s REDD+ Pilot Programme.

The GCF proceeds from the REDD+ RBP will be reinvested in reinforcing an enabling environment for the implementation of Uganda’s REDD+ Strategy and Action Plan, and four priority strategic options of Uganda’s REDD+ Strategy: climate-smart agriculture, sustainable charcoal/fuel wood production, restoration, and policy strengthening. The plan promotes gender inclusion and community empowerment through targeted training, participatory planning, and inclusive benefit-sharing mechanisms.

The use of GCF proceeds will strengthen the capacity of government institutions involved in implementing REDD+ activities and reduce the pressure from key deforestation drivers. This will contribute to the long-term sustainability of REDD+ activities and generate non-carbon benefits. A benefit-sharing system will be introduced to encourage further activities to scale up results in seventeen prioritised districts.",2025-10-30T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-redd-rbp-for-results-period-2016-2017_18db,Uganda REDD+ RBP for results period 2016 - 2017,https://app.climatepolicyradar.org/documents/uganda-redd-rbp-for-results-period-2016-2017_b9b9,https://cdn.climatepolicyradar.org/navigator/UGA/2025/uganda-redd-rbp-for-results-period-2016-2017_1f17371aeb673ba484e30978fc1c78c9.pdf,Approved funding proposal,n/a,UGA,MCF,English,GCF
,,Unlocking Investments in Gender and Youth-Inclusive Early-Growth Stage Adaptation Small and Medium-Sized Enterprises in Kenya and Uganda,"<p>This project aims to unlock investments for gender- and youth-inclusive early-growth adaptation SMEs in Kenya and Uganda by bridging the “missing middle” financing gap that limits their ability to scale climate solutions in the agriculture and water sectors. It supports SMEs providing locally tailored adaptation technologies and services through performance-based grants, business advisory support, and capacity building. By fostering inclusive entrepreneurship and crowding in private capital, it seeks to transform local financial markets and enhance the climate resilience of vulnerable communities, particularly women and youth.</p>",2025-10-10T00:00:00+00:00,https://app.climatepolicyradar.org/document/unlocking-investments-in-gender-and-youth-inclusive-early-growth-stage-adaptation-small-and-medium-sized-enterprises-in-kenya-and-uganda_eb51,Project Document,https://app.climatepolicyradar.org/documents/project-document_7f27,https://cdn.climatepolicyradar.org/navigator/KEN/2025/unlocking-investments-in-gender-and-youth-inclusive-early-growth-stage-adaptation-small-and-medium-sized-enterprises-in-kenya-and-uganda_09d54e3c3a78720d2f419158b8b904a2.pdf,,n/a,KEN;UGA,MCF,English,AF
Uganda's Biennial Update Reports,,Uganda Biennial Update Report. BUR2,<p>Uganda Biennial Update Report. BUR2</p>,2025-08-12T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-biennial-update-report-bur2_2f7c,Uganda’s Second Biennial Update Report To The UNFCCC,https://app.climatepolicyradar.org/documents/ugandas-second-biennial-update-report-to-the-unfccc_b771,https://cdn.climatepolicyradar.org/navigator/UGA/2025/uganda-biennial-update-report-bur2_e88492ffd16045456c122bc476f889fe.pdf,Biennial Update Report,n/a,UGA,UN Submissions,English,UNFCCC
,,DaIMA – Dairy Interventions for Mitigation and Adaptation,"As GCF’s first dedicated livestock programme, DaIMA aims to strengthen climate resilience, reduce emissions across the dairy value chain and improve the livelihoods of dairy farmers in East Africa.

The dairy sector in East Africa, including Kenya, Rwanda, Uganda and the United Republic of Tanzania, faces significant challenges due to climate change. Dairy farming is a major contributor to these countries' greenhouse gas (GHG) emissions, and climate change's effects threaten its long-term sustainability. Many dairy farmers struggle with limited market access, challenges in sourcing local feed and fodder, inadequate extension and financial services, and difficulties in risk management. The sector is further impacted by low livestock genetic potential, herd management issues, animal diseases, insufficient extension support, limited awareness of climate-resilient and low-carbon practices and technologies, rangeland degradation and gender inequalities.

DaIMA has a comprehensive and holistic approach to improve all aspects of the dairy sector, from improving policy, institutional and service delivery environments to building the capacity of smallholder farmers, including women, youth and marginalised groups. It will improve access to finance and innovative technologies offering mitigation and adaptation benefits. As a result, dairy farmers and processors will be encouraged to adopt more efficient, climate-resilient practices that enhance incomes and lower production costs.

Key activities include strengthening national capacities and enhancing an enabling environment for a low-emission and climate-resilient dairy sector, enhancing income and productivity for smallholder dairy farmers, cooperatives and small and medium-sized enterprises (SMEs) by promoting sustainable climate-resilient and low-emission growth pathways, and establishing a Green Dairy Financing Facility in the four target countries to enhance access to finance for dairy value chain actors, including farmers, cooperatives, SMEs and technology providers.",2025-07-03T00:00:00+00:00,https://app.climatepolicyradar.org/document/daima-dairy-interventions-for-mitigation-and-adaptation_d018,Gender assessment for FP269: DaIMA – Dairy Interventions for Mitigation and Adaptation,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp269-daima-dairy-interventions-for-mitigation-and-adaptation_32a1,https://cdn.climatepolicyradar.org/navigator/KEN/2025/daima-dairy-interventions-for-mitigation-and-adaptation_096ef62e13b822a502e414ced213756e.pdf,Gender assessment,n/a,KEN;RWA;TZA;UGA,MCF,English,GCF
