DOCUMENT_ID,DOCUMENT_NAME,FAMILY_ID,DOCUMENT_SLUG,FAMILY_SUMMARY,TEXT_BLOCK_ID,PASSAGE_INDEX,TEXT_PASSAGE,PASSAGE_TYPE,LANGUAGE,TOPIC_LABELLERS,TOPIC_IDS,TOPIC_LABELLED_TEXTS
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3e-75f3-a056-06c63dc87508,10,PART VI - GENERAL,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4ca7-77f1-949b-151fc063c2d7,11,"41. Register of climate change mechanisms project
42. Changes to climate change mechanisms project
43. Access to register
44. Appeals
45. Transition of climate change mechanisms project",List,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3e-75f3-a056-0723b6fbdbfe,12,SCHEDULES,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3f-7dd1-a535-6f37833688ee,13,Schedule 1- Currency Point Schedule 2- Forms Schedule 3- Fees,Text,en,"[""KeywordClassifier(\""fees and charges\"")""]",Q1277,Fees
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4d21-7b03-a626-0612aa1cea6f,14,"STATUTORY INSTRUMENTS 2025 No. 9
The National Climate Change (Climate Change Mechanisms) Regulations, 2025",title,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-53f8-7e13-86df-cf962e7600b3,15,"IN EXERCISE of the powers conferred on the Minister responsible for climate change matters by sections 8, 9, 12 and 29 of the National Climate Change Act, these Regulations are made this 7th day of November, 2024. (Under sections 8, 9, 12 and 29 of the National Climate Change Act, Cap. 182)",Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4d21-7b03-a626-062d1f085ce2,16,"PART I-PRELIMINARY
1. Citation",sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3f-7dd1-a535-6fc1876f1713,17,These Regulations may be cited as the National Climate Change (Climate Change Mechanisms) Regulations 2025.,Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3f-7dd1-a535-6fd508d3acc7,18,2. Interpretation,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4e5b-7c62-9ae0-e2c52704ab48,19,"In these Regulations, unless the context otherwise requires- ""Act"" means the National Climate Change Act; ""Agreement"" means the Paris Agreement, 2015 set out in Schedule 4 to the Act; ""certified emissions reduction units"" means quantified greenhouse gas emission reduction or removal from the atmosphere arising from implementing a climate change mechanism project certified by the following Standards-",Text,en,"[""KeywordClassifier(\""greenhouse gas\"")""]",Q218,greenhouse gas
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4ca8-79e0-9b40-8c0e6c4ecbf6,20,"(a) the United Nations Framework Convention on Climate Change Carbon Markets Certification Standards;
(b) Gold Standard;
(c) Verified Carbon Standard;
(d) REDD+ Environmental Excellence Standard; or
(e) Plan Vivo System; ""climate change"" means a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is, in addition to natural climate variability, observed over comparable time periods; ""climate change mechanism"" means a mechanism to contribute to the mitigation of greenhouse gas emissions and support sustainable development and includes cooperative and non-market approaches as defined under article 6 of the Agreement; ""Commissioner"" means the commissioner responsible for the Department responsible for climate change in the Ministry; ""currency point"" has the value assigned to it in Schedule 1 to these Regulations; ""Department"" means the department responsible for climate change in the Ministry; ""emissions"" means the release of greenhouse gases or their precursors into the atmosphere over a specified area and period of time where the emissions are attributable to human activity; ""emissions reduction units"" means a tradable unit, that represents one ton, of verified quantified greenhouse gas emission reduction or removal from the atmosphere, arising from implementing a climate change mechanism project; ""greenhouse gases"" means those gaseous constituents of the atmosphere, both natural and anthropogenic, that absorb and re-emit infrared radiation; ""lead agency"" means a Ministry, department, agency of Government or a local government responsible for undertaking response measures for climate change in accordance with the Act and the National Climate Change Policy; ""Minister"" means the Minister responsible for climate change matters; ""Ministry"" means the Ministry responsible for climate change matters; ""mitigation"" means efforts that seek to prevent or reduce the increase of atmospheric greenhouse gas concentrations by limiting current or future emissions and enhancing potential sinks for greenhouse gases; ""project proponent"" means an individual, a lead agency or private entity that applies to the Minister for approval to participate in a climate change mechanism referred to in section 8 of the Act;",List,en,"[""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""]","Q218, Q218, Q218, Q218, Q218, Q218","greenhouse gas, greenhouse gases, greenhouse gas emissions, greenhouse gases, greenhouse gases, greenhouse gas"
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b40-7cf3-886b-4349ca5d9572,21,"""targeted greenhouse gases"" means carbon dioxide (CO2), methane (CH4), nitrous oxide (N20), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6), Nitrogen Trifluoride (NF3) or any other greenhouse gas declared by the Minister in consultation with the Department, to be a targeted greenhouse gas.",Text,en,"[""KeywordClassifier(\""carbon dioxide\"")""], [""KeywordClassifier(\""carbon dioxide\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""methane\"")""], [""KeywordClassifier(\""methane\"")""]","Q223, Q223, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q218, Q226, Q226","CO2, carbon dioxide, perfluorocarbons, PFCs, CH4, greenhouse gas, Nitrogen Trifluoride, sulphur hexafluoride, CO2, hydrofluorocarbons, greenhouse gas, HFCs, nitrous oxide, methane, carbon dioxide, NF3, greenhouse gases, SF6, methane, CH4"
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4d21-7b03-a626-063c576c7ca2,22,"PART II - MEASUREMENT OF GREENHOUSE GAS EMISSIONS
3. Measurement of emissions",sectionHeading,en,"[""KeywordClassifier(\""greenhouse gas\"")""]",Q218,GREENHOUSE GAS EMISSIONS
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4ca8-79e0-9b40-8c3a4798f125,23,"(1) Subject to section 9 of the Act, a lead agency shall measure the emissions of greenhouse gases in accordance with the Intergovernmental Panel on Climate Change (IPCC) Guidelines for National Greenhouse Gas Inventories.
(2) A project proponent who wishes to undertake a climate change mechanism project shall-
(a) estimate the emissions or reductions of greenhouse gases; and
(b) determine the net emissions reductions for the period in relation to the targeted greenhouse gas for that project in accordance with the greenhouse gas baseline in the project design document.",List,en,"[""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""], [""KeywordClassifier(\""greenhouse gas\"")""]","Q218, Q218, Q218, Q218, Q218","Greenhouse Gas, greenhouse gas, greenhouse gases, greenhouse gases, greenhouse gas"
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4d21-7b03-a626-064920e150f8,24,"PART III-REGISTRATION OF VERIFIERS
4. Registration of verifiers",sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4cbd-7461-a920-e8c42fe84e65,25,"(1) Subject to section 12 of the Act, a person who intends to conduct validation or verification of emissions reduction units in Uganda shall apply to the Commissioner to be registered as a verifier in Form 1 set out in Schedule 2 to these Regulations.
(2) An application referred to in subregulation (1) shall be accompanied by-
(a) proof of accreditation in accordance with any of the following standards-
(i) the United Nations Framework Convention on Climate Change Carbon Markets Certification Standards;
(ii) Gold Standard;
(iii) Verified Carbon Standard;
(iv) REDD+ Environmental Excellence Standard; or
(v) Plan Vivo System; and
(b) evidence of proof of payment of the registration fees for a verifier prescribed in Schedule 3 to these Regulations.",List,en,"[""KeywordClassifier(\""fees and charges\"")""]",Q1277,fees
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b40-7cf3-886b-448b12e802b3,26,5. Certificate of registration of verifier,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4cbd-7461-a920-e8d417041bd5,27,"(1) The Commissioner shall consider the application submitted in regulation 4 within twenty-one working days of receipt and issue the applicant with a certificate of registration in Form 2 set out in Schedule 2 to these Regulations.
(2) The Commissioner shall, upon issuing a certificate of registration of verifier, enter the details of the verifier on the register referred to in regulation 41.",List,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b40-7cf3-886b-44b97b991e12,28,6. Validity of certificate of registration of verifier,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b40-7cf3-886b-44cae55204dd,29,A certificate of registration of a verifier issued under these Regulations shall be valid for the period specified in the proof of accreditation referred to in regulation 4(2) (a).,Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b40-7cf3-886b-44d29bb52dff,30,7. Revocation of certificate of registration of verifier,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4cbe-7ac1-8a91-d99276abf90a,31,"(1) The Commissioner may revoke a certificate of registration of a verifier where-
(a) the verifier violates any law of Uganda;
(b) the verifier obtained the certificate of registration by misrepresentation of material information; or
(c) the accreditation of the verifier under the standards referred to in regulation 4 (2)(a) has been revoked.
(2) The Commissioner shall give the holder of a certificate of registration notice, stating the reasons in writing for the revocation or suspension of the certificate of registration.",List,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b59-7601-8c7d-79c3ab02a9ab,32,8. Renewal of certificate of registration of verifier,sectionHeading,en,,,
